Appid;Title;Top seller rank; Action; Action-Adventure; Card Game; First-Person Shooter; MMORPG; Simulation; Strategy; But First,  You'll Need A Contract; Changing The Game; Expansive Expansions; Free To Play; Horse Armor; Infinite Money Hole; It's Not Gambling, We Swear; Time Is Money;positive;negative;median_forever;median_2weeks;ccu;10%;25%;5%;1%;100%;share ;class_percentile
201210;Pox Nora;8248;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;486;182;83;0;16;0;1;0;0;1;0.198312135;4
490220;Prismata;14956;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;916;192;425;0;14;0;0;0;0;1;0.359597028;5
1207850;Project RTD: Random Tower Defense PvP;14060;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;450;435;336;0;11;0;0;0;0;1;0.338053906;5
384180;Prominence Poker;1858;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;4729;800;165;668;307;1;1;1;0;1;0.044673126;2
1131720;PROP AND SEEK;7718;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;2552;554;87;0;150;0;1;0;0;1;0.185568993;4
578080;PUBG: BATTLEGROUNDS;8;1;0;0;0;0;0;1;0;0;0;0;1;0;0;1;1110039;876583;8416;230;301535;1;1;1;1;1;0.000192349;1
99910;Puzzle Pirates;1824;1;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1363;333;82;0;98;1;1;1;0;1;0.043855642;2
611500;Quake Champions;2321;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;24453;9295;70;156;544;1;1;0;0;1;0.055805343;3
215100;Ragnarok Online;1704;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;1396;453;50;0;36;1;1;1;0;1;0.040970402;2
231060;Ragnarok Online 2;12956;0;0;0;0;1;0;0;0;1;0;0;1;0;0;1;1786;1239;257;0;6;0;0;0;0;1;0.311509702;5
670290;Real Pool 3D - Poolians;5139;0;0;0;0;1;0;0;0;1;0;0;1;0;0;1;5106;1376;87;47;345;0;1;0;0;1;0.123560386;4
610080;Realm Grinder;3038;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;4862;735;260;3712;1294;1;1;0;0;1;0.073044649;3
200210;Realm of the Mad God Exalt;284;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;34585;6494;115;54;1543;1;1;1;1;1;0.0068284;1
1055210;Retrograde Arena;13755;0;0;0;0;1;0;0;0;1;0;0;1;0;0;1;343;19;25;0;2;0;0;0;0;1;0.330720589;5
442080;Riders of Icarus;2629;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;6803;3415;162;0;168;1;1;0;0;1;0.063210791;3
509420;Riding Club Championships;5910;0;0;0;0;1;0;0;0;1;0;0;1;0;0;1;436;150;65;0;20;0;1;0;0;1;0.14209805;4
39120;RIFT;1490;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;7834;2628;320;0;226;1;1;1;0;1;0.035825058;2
244050;Rise of Flight United;5933;0;0;0;0;1;0;0;0;1;0;0;1;0;0;1;1159;957;128;0;18;0;1;0;0;1;0.142651054;4
301520;Robocraft;2694;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;86083;32398;206;1192;301;1;1;0;0;1;0.064773629;3
1427760;RoboSquare;15497;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;102;30;0;0;10;0;0;0;0;1;0.37260465;5
449050;Rock Paper Scissors Champion;14516;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;255;213;5;0;0;0;0;0;0;1;0.349017816;5
1359160;Rocket Bots;15494;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;25;9;0;0;0;0;0;0;0;1;0.372532519;5
1092630;Rogue Glitch;9760;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;887;45;16;0;19;0;1;0;0;1;0.234666154;4
372800;RPG MO;3689;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2092;549;9;0;84;1;1;0;0;1;0.088697074;3
357500;Rumble Fighter: Unleashed;3499;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;174;162;0;0;4;1;1;0;0;1;0.084128778;3
383080;Sakura Clicker;7465;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;12489;2369;49;0;109;0;1;0;0;1;0.179485946;4
332070;School of Dragons;2036;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2719;2068;38;0;52;1;1;1;0;1;0.048952898;2
429300;Sepia Tears;12011;0;0;0;0;1;0;0;0;1;0;0;1;0;0;1;772;99;17;0;0;0;0;0;0;1;0.28878844;5
438040;Shakes and Fidget;566;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;23117;1650;507;170;2987;1;1;1;0;1;0.013608713;2
312280;Simply Chess;9811;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;2304;745;57;8;44;0;1;0;0;1;0.235892381;4
386360;SMITE;74;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;77993;19096;196;595;16676;1;1;1;1;1;0.001779231;1
591740;Sniper Fury;1475;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1155;1270;22;0;167;1;1;1;0;1;0.035464403;2
429680;Spellweaver;15212;1;0;0;0;0;0;0;0;1;0;0;1;0;0;1;991;341;61;0;4;0;0;0;0;1;0.365752206;5
99900;Spiral Knights;1913;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;18740;3572;94;0;171;1;1;1;0;1;0.045995528;2
356670;Spooky's Jump Scare Mansion;7788;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;11879;912;39;0;26;0;1;0;0;1;0.18725205;4
212070;Star Conflict;1034;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;10367;3457;119;0;213;1;1;1;0;1;0.024861148;2
9900;Star Trek Online;117;0;0;0;0;1;0;0;0;1;0;0;1;0;0;1;12677;3412;330;121;1740;1;1;1;1;1;0.002813109;1
47410;Stronghold Kingdoms;1294;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;5580;3030;48;0;564;1;1;1;0;1;0.0311125;2
355840;Survarium;3151;1;0;0;1;1;0;0;0;1;0;0;1;0;0;1;13761;11724;42;102;207;1;1;0;0;1;0.075761583;3
984110;SYNTHETIK: Arena;4720;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1885;182;44;0;12;0;1;0;0;1;0.113486091;4
402560;Tabletopia;3931;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;916;539;25;0;31;1;1;0;0;1;0.09451564;3
587860;Tales of Escape;4338;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;1098;534;60;0;10;0;1;0;0;1;0.104301411;4
